Sn,Country,Total Case,New Case,Total Death,Total Recovered,New Covered ,Acctive Case
1,USA,"34,449,004",,"618,294 ",,"28,846,304",
2,India,"30,082,778",+609,"392,014 ",,"29,063,740","+7,131"
3,Brazil,"18,170,778",,"507,240 ",,"16,483,635",
4,France,"5,762,322",,"110,862 ",,"5,583,214",
5,Turkey,"5,387,545",,"49,358 ",,"5,248,862",
6,Russia,"5,368,513",,"130,895 ",,"4,902,110",
7,UK,"4,667,870",,"128,027 ",,"4,308,504",
8,Argentina,"4,326,101",,"90,986 ",,"3,944,323",
9,Italy,"4,255,434",,"127,352 ",,"4,059,463",
10,Colombia,"4,027,016",,"101,947  ",,"3,741,459",
11,Spain,"3,773,032",,"80,748 ",,"3,567,842",
12,Germany,"3,732,423",,"91,146 ",,"3,614,500","+3,000"
13,Iran,"3,128,395",,"83,329 ",,"2,784,014",
14,Poland,"2,879,192",,"74,893 ",,"2,650,839",
15,Mexico,"2,487,747","+4,963","231,847 ",+342,"1,979,823","+2,752"
16,Ukraine,"2,230,977",,"52,123 ",,"2,155,261",
17,Peru,"2,036,449",,"191,073 ",,N/A,N/A
18,Indonesia,"2,033,421",,"55,594 ",,"1,817,303",
19,South Africa,"1,861,065",,"59,258 ",,"1,671,391",
20,Netherlands,"1,680,880",,"17,734 ",,"1,611,188",
21,Czechia,"1,666,325",,"30,289 ",,"1,633,550",
22,Chile,"1,528,409",,"31,746 ",,"1,462,966",
23,Canada,"1,410,927",,"26,175 ",,"1,375,107",
24,Philippines,"1,372,232",,"23,928 ",,"1,298,442",
25,Iraq,"1,305,000",,"16,968 ",,"1,213,952",
26,Sweden,"1,088,518",,"14,578 ",,"1,049,733",
27,Belgium,"1,081,061","+1,026","25,149 ",+5,"1,021,987",
28,Romania,"1,080,389",,"32,626 ",,"1,045,303",
29,Pakistan,"951,865","+1,097","22,108 ",+35,"896,821","+1,131"
30,Portugal,"868,323",,"17,077 ",,"822,234",
31,Bangladesh,"866,877",,"13,787 ",,"791,553",
32,Israel,"840,225",,"6,428 ",,"833,191",
33,Hungary,"807,775",,"29,971 ",,"736,387",
34,Japan,"787,650",,"14,496 ",,"754,334",
35,Jordan,"748,103",,"9,693 ",,"732,006",
36,Serbia,"716,016",,"7,013 ",,"706,407",
37,Malaysia,"711,006",,"4,637 ",,"645,553",
38,Switzerland,"702,278",,"10,876 ",,"676,492",
39,Austria,"649,845",,"10,686 ",,"636,740",
40,Nepal,"627,854",,"8,894 ",,"568,440",
